2020-07-16 17:43:32.511 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration(308) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseTest], using SpringBootContextLoader
2020-07-16 17:43:32.528 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations(264) - Could not detect default resource locations for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-16 17:43:32.530 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses(83) - Could not detect default configuration classes for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseTest]: CourseTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-16 17:43:32.841 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses(235) - Found @SpringBootConfiguration CSCI5308.GroupFormationTool.GroupFormationToolApplication for test class CSCI5308.GroupFormationTool.CoursesTest.CourseTest
2020-07-16 17:43:32.967 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(248) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-07-16 17:43:32.989 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners(177) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6b5176f2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@b672aa8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2fab4aff, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@ec0c838, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6e46d9f4, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@5cc69cfe, org.springframework.test.context.event.EventPublishingTestExecutionListener@29cfd92b, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@21c64522, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7997b197, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@11dee337, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@460f76a6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@55f3c410, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@11acdc30]
2020-07-16 17:43:33.538 [main] INFO  C.G.CoursesTest.CourseTest.logStarting(55) - Starting CourseTest on DESKTOP-TCC6P1I with PID 12672 (started by raouf in C:\Users\raouf\LABs\CSCI-5308-AdvTopicsInSoftwareDevelopment\GroupProject\group7)
2020-07-16 17:43:33.539 [main] INFO  C.G.CoursesTest.CourseTest.logStartupProfileInfo(651) - No active profile set, falling back to default profiles: default
2020-07-16 17:43:35.751 [main] INFO  C.G.Security.SecurityConfiguration.configure(26) - user=SecurityConfiguration, action=Resource Authorization
2020-07-16 17:43:35.775 [main] INFO  C.G.Security.SecurityConfiguration.configure(20) - user=SecurityConfiguration, action=Resource Authorization
2020-07-16 17:43:35.777 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: Ant [pattern='/resources/**'], []
2020-07-16 17:43:36.685 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init>(43) - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f10f633, org.springframework.security.web.context.SecurityContextPersistenceFilter@3b2553d9, org.springframework.security.web.header.HeaderWriterFilter@5b5dce5c, org.springframework.security.web.csrf.CsrfFilter@72bdd7c7, org.springframework.security.web.authentication.logout.LogoutFilter@3234474, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@558b4942, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@21b6c9c2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76fe6cdc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1642eeae, org.springframework.security.web.session.SessionManagementFilter@fb49fdf, org.springframework.security.web.access.ExceptionTranslationFilter@57ad1178, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@124dac75]
2020-07-16 17:43:37.371 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize(171) - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-16 17:43:37.536 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping.<init>(58) - Adding welcome page template: index
2020-07-16 17:43:38.036 [main] INFO  C.G.CoursesTest.CourseTest.logStarted(61) - Started CourseTest in 4.961 seconds (JVM running for 7.15)
2020-07-16 17:43:38.402 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration(308) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseUserRelationshipTest], using SpringBootContextLoader
2020-07-16 17:43:38.404 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations(264) - Could not detect default resource locations for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseUserRelationshipTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-16 17:43:38.405 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses(83) - Could not detect default configuration classes for test class [CSCI5308.GroupFormationTool.CoursesTest.CourseUserRelationshipTest]: CourseUserRelationshipTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
